term,per_million
able,310.000000
about,400.000000
accept,228.000000
account,249.000000
achieve,218.000000
act,319.000000
action,344.000000
activity,305.000000
add,300.000000
afraid,25.000000
again,357.000000
age,288.000000
ago,184.000000
agree,241.000000
agreement,211.000000
air,177.000000
all,150.000000
allow,401.000000
almost,295.000000
already,345.000000
also,1581.000000
always,386.000000
american,197.000000
amount,208.000000
analysis,195.000000
answer,73.000000
anyway,37.000000
appear,356.000000
application,209.000000
apply,248.000000
approach,225.000000
april,195.000000
area,719.000000
argue,185.000000
arm,125.000000
around,192.000000
arrive,133.000000
art,264.000000
as,537.000000
ask,399.000000
authority,400.000000
available,358.000000
award,235.000000
away,221.000000
back,606.000000
bad,213.000000
bank,282.000000
base,256.000000
basis,188.000000
be,40274.000000
become,807.000000
bed,95.000000
before,91.000000
begin,417.000000
believe,332.000000
benefit,191.000000
better,109.000000
big,277.000000
bit,76.000000
black,199.000000
blue,62.000000
board,188.000000
body,322.000000
book,409.000000
both,466.000000
boy,148.000000
break,177.000000
breath,18.000000
bring,416.000000
britain,334.000000
british,461.000000
brother,99.000000
build,270.000000
building,264.000000
business,450.000000
buy,235.000000
call,484.000000
car,299.000000
care,242.000000
carry,334.000000
case,752.000000
catch,100.000000
cause,250.000000
central,251.000000
centre,348.000000
century,307.000000
certain,245.000000
certainly,169.000000
chair,51.000000
chance,158.000000
change,754.000000
chapter,212.000000
child,774.000000
choose,190.000000
church,276.000000
city,317.000000
claim,244.000000
class,301.000000
clear,269.000000
close,260.000000
club,243.000000
coffee,33.000000
cold,68.000000
come,994.000000
committee,268.000000
common,232.000000
community,356.000000
company,739.000000
computer,219.000000
condition,307.000000
consider,355.000000
contain,232.000000
continue,327.000000
contract,204.000000
control,343.000000
corner,63.000000
cost,345.000000
council,410.000000
country,601.000000
couple,109.000000
course,328.000000
court,447.000000
cover,208.000000
create,281.000000
cry,24.000000
cut,180.000000
dark,51.000000
date,223.000000
day,859.000000
dead,80.000000
deal,191.000000
death,246.000000
decide,246.000000
decision,305.000000
deep,81.000000
department,282.000000
describe,307.000000
design,193.000000
detail,217.000000
develop,313.000000
development,500.000000
die,207.000000
difference,229.000000
different,544.000000
difficult,245.000000
director,215.000000
do,3172.000000
doctor,119.000000
door,120.000000
down,535.000000
draw,219.000000
drive,125.000000
drop,82.000000
early,438.000000
easy,200.000000
eat,97.000000
economic,321.000000
education,342.000000
effect,431.000000
either,237.000000
election,208.000000
else,121.000000
end,468.000000
england,290.000000
enough,191.000000
ensure,186.000000
environment,190.000000
especially,212.000000
establish,235.000000
europe,237.000000
european,260.000000
even,688.000000
evening,115.000000
event,267.000000
ever,197.000000
evidence,273.000000
example,255.000000
expect,293.000000
experience,275.000000
explain,197.000000
eye,165.000000
face,142.000000
fact,442.000000
factor,199.000000
fail,196.000000
fall,252.000000
family,488.000000
far,645.000000
father,169.000000
feel,412.000000
feeling,111.000000
field,235.000000
figure,325.000000
financial,215.000000
find,946.000000
finger,36.000000
finish,81.000000
fire,120.000000
firm,211.000000
floor,86.000000
follow,534.000000
food,237.000000
foot,151.000000
force,316.000000
foreign,212.000000
forget,70.000000
form,703.000000
forward,110.000000
free,224.000000
friend,290.000000
full,301.000000
game,242.000000
garden,136.000000
general,386.000000
get,997.000000
girl,157.000000
give,1256.000000
glance,4.000000
glass,73.000000
go,1141.000000
god,159.000000
going,127.000000
good,1120.000000
government,882.000000
great,699.000000
ground,233.000000
group,775.000000
grow,190.000000
hair,77.000000
hand,340.000000
hang,52.000000
happen,234.000000
happy,99.000000
hard,163.000000
have,11650.000000
head,272.000000
health,314.000000
hear,216.000000
heart,124.000000
help,422.000000
here,414.000000
high,694.000000
history,255.000000
hold,485.000000
home,576.000000
hope,191.000000
horse,109.000000
hospital,208.000000
hour,264.000000
house,542.000000
how,769.000000
however,788.000000
human,224.000000
husband,106.000000
idea,333.000000
imagine,53.000000
important,473.000000
in,385.000000
include,474.000000
increase,249.000000
indeed,202.000000
industry,322.000000
information,490.000000
interest,468.000000
international,300.000000
involve,293.000000
issue,344.000000
job,315.000000
john,363.000000
join,186.000000
june,191.000000
just,759.000000
keep,411.000000
kill,138.000000
kind,261.000000
kitchen,46.000000
know,868.000000
lady,83.000000
land,238.000000
language,285.000000
large,572.000000
late,346.000000
later,330.000000
laugh,29.000000
law,415.000000
lead,391.000000
leader,214.000000
lean,14.000000
learn,202.000000
leave,520.000000
leg,85.000000
less,288.000000
let,165.000000
letter,213.000000
level,458.000000
life,669.000000
light,138.000000
like,221.000000
likely,287.000000
line,351.000000
lip,17.000000
listen,62.000000
little,152.000000
live,297.000000
local,555.000000
london,409.000000
long,497.000000
look,684.000000
lose,271.000000
loss,199.000000
lot,137.000000
love,194.000000
low,334.000000
main,299.000000
major,312.000000
make,2167.000000
man,801.000000
manage,121.000000
management,289.000000
manager,251.000000
march,193.000000
market,451.000000
material,259.000000
matter,264.000000
may,196.000000
maybe,43.000000
mean,397.000000
meet,328.000000
meeting,240.000000
member,594.000000
method,241.000000
million,345.000000
mind,191.000000
minister,405.000000
minute,206.000000
miss,42.000000
model,241.000000
moment,139.000000
money,343.000000
month,454.000000
more,1453.000000
morning,117.000000
most,690.000000
mother,205.000000
mouth,38.000000
move,325.000000
movement,215.000000
mr,711.000000
mrs,156.000000
much,382.000000
name,291.000000
national,498.000000
nature,227.000000
necessary,226.000000
need,922.000000
never,383.000000
new,1411.000000
nice,45.000000
night,290.000000
nod,7.000000
north,194.000000
notice,60.000000
now,1007.000000
number,710.000000
occur,198.000000
off,342.000000
offer,348.000000
office,325.000000
officer,200.000000
often,455.000000
old,568.000000
on,484.000000
once,167.000000
only,1551.000000
open,398.000000
operation,206.000000
opportunity,195.000000
order,297.000000
other,1874.000000
out,1214.000000
over,570.000000
p,206.000000
paper,229.000000
parent,227.000000
part,716.000000
particular,268.000000
particularly,266.000000
party,655.000000
pass,191.000000
patient,318.000000
pattern,190.000000
pay,389.000000
people,1248.000000
performance,191.000000
perhaps,282.000000
period,369.000000
person,323.000000
personal,218.000000
pick,92.000000
place,520.000000
plan,251.000000
plant,188.000000
play,405.000000
please,78.000000
point,504.000000
police,309.000000
policy,443.000000
political,411.000000
poor,162.000000
population,196.000000
position,328.000000
possible,413.000000
power,481.000000
practice,282.000000
president,219.000000
price,342.000000
private,208.000000
probably,229.000000
problem,663.000000
process,357.000000
produce,390.000000
product,287.000000
production,214.000000
programme,327.000000
project,254.000000
property,215.000000
provide,667.000000
public,369.000000
pull,79.000000
purpose,188.000000
push,70.000000
put,476.000000
quality,238.000000
question,401.000000
quickly,98.000000
quite,281.000000
raise,211.000000
range,268.000000
rate,397.000000
rather,186.000000
reach,224.000000
read,273.000000
real,241.000000
realise,80.000000
really,253.000000
reason,308.000000
receive,309.000000
recent,210.000000
record,247.000000
red,103.000000
reduce,234.000000
relation,187.000000
relationship,238.000000
remain,330.000000
remember,159.000000
reply,42.000000
report,644.000000
represent,203.000000
require,377.000000
research,348.000000
rest,128.000000
result,438.000000
return,226.000000
right,694.000000
rise,156.000000
road,301.000000
role,275.000000
room,236.000000
round,57.000000
royal,189.000000
rule,237.000000
run,365.000000
say,2038.000000
scheme,218.000000
school,598.000000
secretary,198.000000
section,299.000000
security,200.000000
see,1478.000000
seek,210.000000
seem,543.000000
sell,237.000000
send,230.000000
sense,242.000000
series,188.000000
serve,190.000000
service,695.000000
set,450.000000
shake,28.000000
share,212.000000
short,207.000000
shoulder,37.000000
shout,25.000000
show,697.000000
side,351.000000
silence,22.000000
similar,239.000000
simple,186.000000
simply,195.000000
single,212.000000
sir,149.000000
sister,63.000000
sit,136.000000
site,192.000000
situation,228.000000
sleep,35.000000
slowly,41.000000
small,539.000000
smile,33.000000
so,1275.000000
social,564.000000
society,369.000000
sometimes,201.000000
son,165.000000
soon,146.000000
sorry,24.000000
sort,134.000000
sound,164.000000
source,208.000000
south,197.000000
speak,185.000000
special,267.000000
spend,227.000000
staff,282.000000
stage,241.000000
stand,204.000000
standard,197.000000
stare,12.000000
start,348.000000
state,574.000000
stay,128.000000
still,625.000000
stone,101.000000
stop,160.000000
story,187.000000
street,229.000000
strong,215.000000
structure,236.000000
student,290.000000
study,439.000000
subject,325.000000
suddenly,52.000000
suggest,339.000000
support,495.000000
suppose,56.000000
sure,134.000000
system,818.000000
table,188.000000
take,1650.000000
talk,165.000000
tax,238.000000
tea,45.000000
teacher,252.000000
team,285.000000
tell,450.000000
term,361.000000
test,204.000000
thank,39.000000
then,1046.000000
theory,222.000000
there,317.000000
therefore,294.000000
thing,450.000000
think,653.000000
thought,104.000000
throw,82.000000
thus,277.000000
time,1735.000000
today,255.000000
together,299.000000
too,559.000000
touch,37.000000
town,247.000000
trade,257.000000
training,242.000000
tree,122.000000
true,179.000000
try,412.000000
turn,316.000000
type,329.000000
uk,247.000000
understand,206.000000
union,265.000000
unit,232.000000
university,244.000000
up,1327.000000
us,225.000000
use,1707.000000
usually,221.000000
value,330.000000
various,190.000000
very,962.000000
view,342.000000
voice,89.000000
wait,109.000000
walk,110.000000
wall,133.000000
want,518.000000
war,346.000000
watch,107.000000
water,378.000000
way,1005.000000
wear,103.000000
week,458.000000
well,490.000000
when,407.000000
where,468.000000
white,173.000000
whole,204.000000
why,287.000000
wide,193.000000
wife,170.000000
win,294.000000
window,141.000000
wish,149.000000
woman,611.000000
wonder,49.000000
word,398.000000
work,1377.000000
worker,238.000000
world,701.000000
write,414.000000
wrong,107.000000
year,1889.000000
yesterday,228.000000
yet,311.000000
young,354.000000
